,CODDEPTO,AÑO,Hectáreas cultivadas,DEPARTAMENTO,POBLACIÓN,TASA_MATRICULACIÓN,COBERTURA_NETA,COBERTURA_BRUTA,DESERCIÓN,APROBACIÓN,REPROBACIÓN,REPITENCIA
0,5,2011,3105.0,ANTIOQUIA,1288473,94.01,93.85,106.81,3.97,93.98,2.06,4.25
1,5,2012,2725.0,ANTIOQUIA,1278686,92.79,92.65,105.8,4.01,92.04,3.95,1.93
2,5,2013,991.0,ANTIOQUIA,1272458,92.06,91.93,105.69,3.57,91.59,4.84,1.57
3,5,2014,2293.0,ANTIOQUIA,1266533,90.97,90.85,103.9,2.33,95.08,2.59,2.09
4,5,2015,2402.57,ANTIOQUIA,1262800,89.92,89.79,103.14,3.82,89.34,6.84,2.83
5,5,2016,8855.28,ANTIOQUIA,1265147,88.2,88.08,101.72,4.47,88.4,7.13,3.02
6,5,2017,13680.83,ANTIOQUIA,1270105,86.1,86.0,98.15,4.15,88.68,7.16,6.52
7,5,2018,13403.09,ANTIOQUIA,1147598,84.72,94.11,108.39,3.97,89.13,6.91,3.13
8,5,2019,9481.93,ANTIOQUIA,1149985,94.0,93.83,107.57,4.02,88.38,7.59,3.19
9,5,2020,12090.19,ANTIOQUIA,1151149,93.59,93.43,106.19,2.3,89.97,7.73,6.48
10,5,2021,16980.91,ANTIOQUIA,1149861,92.62,92.45,104.69,4.81,87.52,7.66,5.84
11,5,2022,16167.98,ANTIOQUIA,1134099,93.5,93.32,104.84,4.73,87.1,8.17,6.49
12,13,2011,2207.0,BOLÍVAR,496676,91.57,91.4,110.41,3.14,94.76,2.1,4.43
13,13,2012,1968.0,BOLÍVAR,495108,88.97,88.87,103.53,3.39,92.83,3.78,2.4
14,13,2013,925.0,BOLÍVAR,492500,89.66,89.55,103.72,2.56,94.23,3.2,1.91
15,13,2014,1565.0,BOLÍVAR,490573,87.5,87.41,98.71,3.53,94.1,2.37,1.96
16,13,2015,1043.02,BOLÍVAR,488886,88.78,88.69,100.18,3.01,91.5,5.49,1.83
17,13,2016,4094.2799999999997,BOLÍVAR,487274,89.5,89.41,101.18,2.97,91.68,5.35,2.16
18,13,2017,6179.01,BOLÍVAR,486067,90.7,90.58,102.17,2.65,91.16,6.19,4.4
19,13,2018,8613.68,BOLÍVAR,455784,92.71,98.6,112.48,2.75,90.31,6.93,3.82
20,13,2019,7965.09,BOLÍVAR,461988,99.44,99.33,112.39,2.99,90.5,6.51,3.59
21,13,2020,9373.25,BOLÍVAR,466941,98.91,98.8,110.4,2.03,94.06,3.91,5.92
22,13,2021,11514.38,BOLÍVAR,469046,99.39,99.3,111.33,3.69,88.65,7.66,4.1
23,13,2022,10368.03,BOLÍVAR,464305,100.32,100.19,113.09,4.01,88.82,7.17,6.85
24,15,2011,94.0,BOYACÁ,300501,86.16,86.11,104.15,3.07,94.2,2.73,2.62
25,15,2012,10.0,BOYACÁ,297132,85.7,85.64,99.96,3.23,91.92,4.86,2.0
26,15,2013,17.0,BOYACÁ,292312,85.1,85.05,96.3,2.45,93.41,4.14,1.69
27,15,2014,14.0,BOYACÁ,288366,83.94,83.89,94.74,1.89,93.8,4.31,2.24
28,15,2015,7.71,BOYACÁ,284611,83.62,83.57,93.37,2.22,93.27,4.51,2.27
29,15,2016,14.99,BOYACÁ,279627,83.8,83.7,96.0,2.46,93.5,4.04,2.18
30,15,2017,21.99,BOYACÁ,275027,83.5,83.48,94.76,2.15,92.61,5.25,2.3
31,15,2018,16.48,BOYACÁ,234116,83.54,96.54,106.84,2.07,92.59,5.34,1.69
32,15,2019,4.24,BOYACÁ,234368,96.6,96.51,108.44,2.05,92.02,5.93,1.92
33,15,2020,6.35,BOYACÁ,234540,94.91,94.84,103.67,1.7,90.55,7.75,5.42
34,15,2021,17.95,BOYACÁ,234348,95.55,95.48,104.85,2.97,88.05,8.98,5.91
35,15,2022,47.29,BOYACÁ,234191,93.95,93.87,102.84,2.9,89.9,7.2,7.61
36,17,2011,46.0,CALDAS,201185,87.04,86.98,98.13,4.13,90.62,5.25,4.67
37,17,2012,16.0,CALDAS,198526,84.55,84.5,96.6,4.64,88.95,6.4,4.32
38,17,2013,8.0,CALDAS,196982,82.58,82.54,94.92,4.1,88.64,7.25,1.87
39,17,2014,0.0,CALDAS,195455,80.96,80.93,92.36,2.65,94.74,2.6,1.73
40,17,2015,0.0,CALDAS,194108,78.9,78.86,90.19,3.67,88.13,8.2,2.18
41,17,2016,0.0,CALDAS,192703,77.4,77.4,88.86,4.28,89.16,6.56,2.16
42,17,2017,0.0,CALDAS,191444,75.8,75.72,86.35,3.47,89.46,7.07,3.08
43,17,2018,0.0,CALDAS,162391,74.38,87.08,99.49,2.96,90.77,6.27,3.35
44,17,2019,0.0,CALDAS,161892,85.98,85.88,97.69,3.31,89.01,7.68,3.67
45,17,2020,0.0,CALDAS,161746,84.65,84.57,96.32,2.35,92.89,4.76,6.48
46,17,2021,0.0,CALDAS,161737,84.34,84.25,95.87,3.1,90.2,6.7,4.46
47,17,2022,0.0,CALDAS,159847,83.32,83.21,93.5,3.81,88.6,7.59,6.0
48,18,2011,3327.0,CAQUETÁ,124148,88.78,88.76,106.03,3.64,96.06,0.3,4.17
49,18,2012,3694.0,CAQUETÁ,124622,83.28,83.25,98.26,7.23,91.6,1.16,1.16
50,18,2013,4322.0,CAQUETÁ,124458,80.95,80.94,95.55,6.55,92.48,0.96,1.32
51,18,2014,6542.0,CAQUETÁ,124473,79.36,79.33,91.71,4.23,95.67,0.1,1.18
52,18,2015,7712.469999999999,CAQUETÁ,124382,73.14,73.12,85.42,4.87,91.65,3.48,1.26
53,18,2016,9343.11,CAQUETÁ,124296,75.4,75.36,88.13,6.88,91.69,1.43,2.2
54,18,2017,11793.25,CAQUETÁ,124222,74.4,74.37,88.1,6.73,90.51,2.76,3.43
55,18,2018,11761.72,CAQUETÁ,98639,73.14,92.04,107.89,5.5,92.62,1.88,2.52
56,18,2019,4511.46,CAQUETÁ,98675,90.52,90.49,105.49,5.32,92.63,2.05,2.6
57,18,2020,2054.94,CAQUETÁ,98602,88.94,88.91,101.54,6.28,83.74,9.98,4.19
58,18,2021,3668.6000000000004,CAQUETÁ,98412,86.73,86.7,97.51,8.5,82.82,8.68,7.59
59,18,2022,5613.97,CAQUETÁ,97946,83.5,83.48,94.41,6.37,87.49,6.14,7.49
60,19,2011,6066.0,CAUCA,328682,86.35,86.21,98.03,2.75,92.53,4.72,2.09
61,19,2012,4327.0,CAUCA,325212,83.48,83.4,102.15,4.02,92.05,3.93,1.15
62,19,2013,3326.0,CAUCA,320510,84.34,84.33,104.67,3.74,91.69,4.57,1.28
63,19,2014,6389.0,CAUCA,316362,84.6,84.58,105.48,4.54,95.33,0.12,1.2
64,19,2015,8660.1,CAUCA,312453,82.21,82.21,99.04,2.17,91.64,6.19,1.23
65,19,2016,12595.439999999999,CAUCA,307989,83.9,83.84,100.22,2.84,91.42,5.73,1.22
66,19,2017,15960.31,CAUCA,303777,83.3,83.32,99.31,2.76,90.66,6.59,1.26
67,19,2018,17117.07,CAUCA,301714,83.72,83.17,100.03,2.58,90.33,7.09,0.97
68,19,2019,17355.829999999998,CAUCA,299016,84.42,84.39,100.7,2.78,90.65,6.56,1.3
69,19,2020,16543.83,CAUCA,296813,85.0,84.97,95.43,1.59,91.93,6.48,5.87
70,19,2021,25099.09,CAUCA,294933,86.33,86.28,97.67,3.03,88.33,8.64,5.98
71,19,2022,26222.719999999998,CAUCA,295168,85.77,85.73,97.26,3.96,88.95,7.09,7.45
72,20,2011,0.0,CESAR,263789,94.75,94.57,110.47,7.07,90.54,2.39,1.67
73,20,2012,12.0,CESAR,263271,94.15,94.01,109.0,5.13,90.08,4.8,1.49
74,20,2013,13.0,CESAR,262240,94.92,94.8,109.98,4.53,89.87,5.6,1.07
75,20,2014,10.0,CESAR,261493,96.29,96.14,111.11,4.95,92.87,2.19,1.2
76,20,2015,33.269999999999996,CESAR,260802,95.52,95.39,109.85,4.38,90.48,5.14,1.08
77,20,2016,26.4,CESAR,259794,97.6,97.44,110.73,5.07,89.53,5.4,1.19
78,20,2017,24.35,CESAR,259051,99.1,98.92,111.18,3.98,90.56,5.46,0.92
79,20,2018,31.1,CESAR,288411,101.41,90.73,101.99,3.98,90.35,5.68,1.24
80,20,2019,38.16,CESAR,296234,90.77,90.57,102.06,4.11,89.08,6.81,1.07
81,20,2020,32.22,CESAR,302403,89.88,89.73,99.16,8.58,82.4,9.02,5.24
82,20,2021,10.61,CESAR,305550,89.21,89.04,98.8,2.43,89.09,8.49,6.28
83,20,2022,7.68,CESAR,308443,87.94,87.77,97.42,6.02,86.62,7.37,7.44
84,23,2011,1088.0,CÓRDOBA,405431,94.53,94.46,111.08,4.59,94.29,1.12,4.07
85,23,2012,1046.0,CÓRDOBA,405302,93.78,93.69,110.73,2.95,95.33,1.72,2.56
86,23,2013,439.0,CÓRDOBA,407589,93.39,93.35,110.67,2.3,96.13,1.57,2.69
87,23,2014,560.0,CÓRDOBA,408623,93.23,93.19,110.59,2.11,97.5,0.39,2.01
88,23,2015,1363.0,CÓRDOBA,409982,89.54,89.5,103.33,2.26,94.51,3.23,1.79
89,23,2016,2668.29,CÓRDOBA,411715,90.3,90.28,104.35,3.03,93.6,3.37,3.75
90,23,2017,4780.4400000000005,CÓRDOBA,413883,88.8,88.72,101.31,3.03,93.23,3.75,3.29
91,23,2018,4636.41,CÓRDOBA,386239,87.95,94.72,108.32,2.23,93.81,3.96,2.89
92,23,2019,2881.86,CÓRDOBA,387454,94.23,94.16,107.57,2.64,93.6,3.76,3.42
93,23,2020,3748.82,CÓRDOBA,388446,93.27,93.21,103.59,2.54,92.27,5.2,5.84
94,23,2021,5480.42,CÓRDOBA,388712,93.04,92.95,103.67,2.95,89.41,7.63,4.81
95,23,2022,6363.79,CÓRDOBA,390847,90.75,90.66,101.54,4.09,87.39,8.53,7.52
96,25,2011,18.0,CUNDINAMARCA,570954,92.13,91.93,103.34,3.6,95.58,0.89,2.7
97,25,2012,0.0,CUNDINAMARCA,571082,91.17,90.97,101.88,2.94,95.84,1.22,2.02
98,25,2013,0.0,CUNDINAMARCA,572012,90.49,90.28,100.66,3.17,95.7,1.12,1.9
99,25,2014,0.0,CUNDINAMARCA,573948,89.99,89.79,99.75,2.6,96.72,0.69,1.73
100,25,2015,0.0,CUNDINAMARCA,576429,90.72,90.47,100.22,3.27,93.2,3.52,2.14
101,25,2016,0.0,CUNDINAMARCA,577612,91.2,90.9,101.15,3.68,93.27,3.05,2.4
102,25,2017,0.0,CUNDINAMARCA,579364,91.8,91.56,101.72,2.57,94.05,3.37,2.43
103,25,2018,0.0,CUNDINAMARCA,547875,92.49,97.91,108.72,2.89,92.11,5.0,2.11
104,25,2019,0.0,CUNDINAMARCA,570377,96.14,95.86,106.07,3.02,91.68,5.3,1.74
105,25,2020,0.0,CUNDINAMARCA,592264,93.68,93.42,103.27,2.78,90.58,6.63,5.29
106,25,2021,0.0,CUNDINAMARCA,610367,90.84,90.58,100.06,4.06,89.34,6.59,5.2
107,25,2022,0.0,CUNDINAMARCA,583695,96.46,96.16,105.12,3.86,90.02,6.12,6.81
108,27,2011,2511.0,CHOCÓ,145587,83.79,83.79,110.17,4.29,93.5,2.21,0.42
109,27,2012,3429.0,CHOCÓ,145607,80.97,80.95,99.64,2.09,91.88,6.03,0.1
110,27,2013,1661.0,CHOCÓ,145133,79.59,79.59,96.73,4.59,88.85,6.56,0.15
111,27,2014,1741.0,CHOCÓ,145299,81.15,81.14,100.66,3.53,90.58,5.89,0.44
112,27,2015,1488.8,CHOCÓ,145625,80.48,80.48,100.91,4.78,88.35,6.87,0.29
113,27,2016,1802.8400000000001,CHOCÓ,145596,79.8,79.85,96.88,3.58,87.44,8.98,1.94
114,27,2017,2610.59,CHOCÓ,145765,79.2,79.19,95.51,2.38,88.49,9.14,2.23
115,27,2018,2155.13,CHOCÓ,143975,79.81,80.95,98.11,3.16,87.71,9.13,1.29
116,27,2019,1248.09,CHOCÓ,143999,82.64,82.64,103.24,2.8,88.46,8.74,1.08
117,27,2020,1467.6399999999999,CHOCÓ,143711,83.98,83.97,94.63,2.04,91.72,6.24,7.78
118,27,2021,5060.58,CHOCÓ,143120,87.22,87.17,100.43,4.02,86.05,9.92,5.89
119,27,2022,5554.8,CHOCÓ,147806,84.5,84.5,102.06,3.67,87.88,8.45,9.05
120,44,2011,16.0,LA GUAJIRA,231046,77.12,77.0,89.4,6.17,92.78,1.07,3.85
121,44,2012,10.0,LA GUAJIRA,239298,75.42,75.33,89.93,6.81,92.33,0.86,3.44
122,44,2013,6.0,LA GUAJIRA,244513,74.8,74.73,87.85,5.27,94.12,0.61,2.35
123,44,2014,0.0,LA GUAJIRA,251458,74.91,74.87,88.84,4.48,95.14,0.38,1.3
124,44,2015,0.0,LA GUAJIRA,258207,74.12,74.08,86.61,2.29,95.83,1.88,1.42
125,44,2016,0.0,LA GUAJIRA,264785,75.7,75.59,88.3,4.62,93.5,1.89,4.5
126,44,2017,1.69,LA GUAJIRA,271221,75.5,75.44,86.51,2.98,93.92,3.1,4.85
127,44,2018,1.61,LA GUAJIRA,237991,77.72,90.55,103.72,2.77,93.01,4.22,4.75
128,44,2019,0.0,LA GUAJIRA,245778,92.92,92.86,103.71,2.51,93.27,4.21,3.59
129,44,2020,0.0,LA GUAJIRA,252101,94.28,94.2,104.74,2.08,89.11,8.81,5.87
130,44,2021,0.0,LA GUAJIRA,255513,99.46,99.35,111.61,2.06,89.12,8.82,6.09
131,44,2022,0.0,LA GUAJIRA,262402,99.33,99.25,110.67,3.65,86.54,9.81,9.77
132,47,2011,46.0,MAGDALENA,333793,94.47,94.32,110.51,3.63,94.98,1.39,1.52
133,47,2012,37.0,MAGDALENA,334586,91.82,91.64,108.68,6.22,91.97,1.81,1.59
134,47,2013,37.0,MAGDALENA,332266,96.03,95.83,117.11,3.19,95.32,1.49,1.32
135,47,2014,9.0,MAGDALENA,331389,90.35,90.1,108.4,2.96,96.05,0.99,0.93
136,47,2015,6.81,MAGDALENA,330539,93.61,93.43,108.08,3.54,93.68,2.78,1.07
137,47,2016,34.93,MAGDALENA,329234,92.5,92.33,108.24,3.2,94.31,2.49,5.31
138,47,2017,7.88,MAGDALENA,327940,93.6,93.3,109.39,2.57,94.62,2.8,2.52
139,47,2018,12.45,MAGDALENA,317652,95.21,97.69,115.66,3.26,93.58,3.15,1.7
140,47,2019,6.88,MAGDALENA,323546,97.49,97.27,114.32,3.5,93.68,2.83,1.53
141,47,2020,2.07,MAGDALENA,327562,96.03,95.83,110.91,3.87,90.81,5.32,3.8
142,47,2021,2.49,MAGDALENA,328343,97.15,96.9,112.69,2.07,94.46,3.47,3.09
143,47,2022,3.0,MAGDALENA,327302,96.16,95.92,118.49,4.9,91.07,4.03,5.02
144,50,2011,3039.0,META,209319,93.65,93.59,102.82,5.55,93.08,1.37,1.48
